Latin Quarter,107
Corpse Reviver No. 2,3
Improved Whiskey Cocktail,26
Rattlesnake,33
Zombie,40
Astor Hotel Special,53
Sazerac,61
Remember the Maine,63
Martini,73
Cocktail a la Lousiane,106
Chrysanthemum,110
Lion’s Tail,7
Tiki Edition - Three Dots & A Dash,83
Tiki Edition – Navy Grog,88
Flannel Shirt,97
Godfather,44
Amaretto Sour,55
Old Ironsides,112
Paper Plane,108
Sweet and Vicious,115
Brooklyn,99
Negroni,11
Intro to Aperol,19
Shaddock,31
Melon Stand,78
Jack Rose,13
Corpse Reviver No. 1,35
Diamondback,43
Eggnog,49
Bronco Buster,57
Deauville,66
Jake Barnes,68
Savoy Tango,94
Royal Smile,95
Tiki Edition – Hotel Nacional Special,84
Black Manhattan,100
Bobby Burns,1
Montgomery Smith,4
Vieux Carré,10
Monte Carlo,21
Widow’s Kiss,51
Between the Sheets,58
Brass Rail,64
Singapore Sling,70
Little Miss Annabelle,121
The Manhattan,2
Greenpoint,9
Pegu Club,14
Martinez,15
Angostura Sour,25
Mai Tai,28
Southside and Southern Exposure,30
Armistice,36
Japanese,37
Delmonico,42
Harvest Moon,45
Old-Fashioned,52
Champs Élysées,62
Bronx & Income Tax,65
Mint Julep,69
Gimlet,76
Mojito,80
Toronto,96
Harvard,98
Rob Roy,101
Vintage Manhattan,104a
Rum Manhattan,75b
Tiki Edition – Queen’s Park Swizzle,87a
Tiki Edition – 151 Swizzle,87b
Conference,114
Scofflaw,46
Alaska,54
Algonquin,91
Revolver,71a
Bijou,109
Claridge,22
Charlie Chaplin,92
Blood and Sand,59
Sidecar,8
Twelve Mile Limit,48
Hot Milk Punch,50
Hoop La!,77
Admiral Russel's Punch,102
Admiral Russell's Punch,102
Hot Toddy,103
Boulevardier,5
Bitter End,23
Lucien Gaudin,38
Apertif,60
Tiki Edition – Jungle Bird,85
Vintage Negroni,104b
The Other Left,71b
Kingston Negroni,116
Golden Beautiful,119
Final Ward,16
Chartreuse Swizzle,74
Cloister,82
Industry Sour,89
Muddled Mission,113
White Lady,20
Tiki Edition – Royal Bermuda Yacht Club,86
Water Lily,117
20th Century,67
Pimm’s Cup,17
Ramos Gin Fizz,6
Clover Club,24
Sloe Gin Fizz,90
Earl Grey MarTEAni & Mandala,93
Pamplemousse,12
Bee’s Knees,32
Rickey,111
Saturn,120
Dark ‘n Stormy,18
Penicillin,41
Brown Derby,79
Cameron’s Kick,34
Sherry Cobbler,39
Ward Eight,56
Daiquiri,27
Pineapple Daiquiri,118a
Pineapple Express,118b
Mary Pickford,72
Bumbo,75a
Vasco de Gama,47a
Afonso de Albuquerque,47b
Old Pal,105